game_id,igdb_id,vgi_id,name,released,steam_id,slug,price,units_sold_vgi,reviews,followers,rating,genres,developers,publishers,publishers_type,revenue_vgi,tags
169556,204633.0,722301,Rotwood,2024-04-24,2015270,rotwood,19.99,222000,7405,44070,75.3,"Action, Adventure, Early Access, RPG",Klei Entertainment,Klei Entertainment,AA,1800000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Multiplayer', 'Action-Adventure', ""Beat 'em up"", 'Action RPG', 'Medieval', 'Co-op', 'Dungeon Crawler', 'Online Co-Op', 'PvE', 'Hack and Slash', 'Action Roguelike', '2D', 'Exploration', 'Roguelite', 'Fantasy', 'Replay Value']"
2897913,7329.0,654663,Dead Island 2,2024-04-22,934700,dead-island-2,49.99,450000,12117,44999,77.321,"Action, Adventure",Dambuster Studios,Deep Silver,AA,15000000,"['Action', 'Adventure', 'Controller', 'Action-Adventure', 'Dark Humor', 'Gore', 'Action RPG', 'Co-op', 'First-Person', 'Dark', 'Character Customization', 'PvE', 'Hack and Slash', 'Crafting', 'Survival Horror', 'Zombies', 'Post-apocalyptic', 'Combat', 'FPS', 'Horror']"
3592223,136093.0,707210,Anno 1602 - History Edition,2024-04-22,2820130,anno-1602-history-edition,9.99,3330,116,1065,72.414,Strategy,Ubisoft,Ubisoft,AAA,19311,"['Strategy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Economy', 'Colony Sim', 'Medieval', 'Co-op', 'War', 'Historical', 'Grand Strategy', 'Turn-Based Strategy', 'Political Sim', 'Action RTS', 'Building', 'RTS', 'Exploration', 'City Builder', 'Resource Management', 'Management']"
3592234,135739.0,694683,Anno 1701 - History Edition,2024-04-22,2820140,anno-1701-history-edition,9.99,2730,93,1358,80.645,"Simulation, Strategy",Ubisoft,Ubisoft,AAA,16436,"['Strategy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Economy', 'Colony Sim', 'Medieval', 'Co-op', 'War', 'Historical', 'Grand Strategy', 'Turn-Based Strategy', 'Political Sim', 'Action RTS', 'Building', 'RTS', 'Exploration', 'City Builder', 'Resource Management', 'Management']"
3592222,136092.0,694682,Anno 1503 - History Edition,2024-04-22,2820110,anno-1503-history-edition,9.99,1710,60,975,66.667,Simulation,Ubisoft,Ubisoft,AAA,9237,"['Strategy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Economy', 'Colony Sim', 'Medieval', 'Co-op', 'War', 'Historical', 'Grand Strategy', 'Turn-Based Strategy', 'Political Sim', 'Action RTS', 'Building', 'RTS', 'Exploration', 'City Builder', 'Resource Management', 'Management']"
3253182,234256.0,694128,The Crew Motorfest,2024-04-18,2698940,the-crew-motorfest,69.99,210000,6990,15584,77.654,Racing,Ubisoft,Ubisoft,AAA,7000000,"['Singleplayer', 'Multiplayer', 'Sports', 'Racing', 'Driving', 'Co-op', 'Online Co-Op', 'Motorbike', '3D', 'Arcade', 'Open World', 'Sandbox', 'PvP']"
3022262,139875.0,639135,Reigns Beyond,2024-04-17,1663400,reigns-beyond,4.99,1770,59,761,89.831,Casual,Nerial,Devolver Digital,AA,6465,"['Singleplayer', 'Choose Your Own Adventure', 'Casual', 'Choices Matter', 'Futuristic', 'Dynamic Narration', '2D', 'Card Game', 'Comedy', 'Story Rich', 'Space', 'Sci-fi', 'Minimalist', 'Cute', 'Colorful']"
2455013,294217.0,620713,Winning Post 10 2024,2024-03-28,2586650,winning-post-10-2024,0.0,3510,116,1328,69.828,"Simulation, Sports, Racing","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",AAA,0,"['Simulation', 'Singleplayer', 'Sports', 'Racing', 'Horses']"
3253237,267837.0,613008,Millennia,2024-03-26,1268590,millennia,39.99,96600,3548,39583,69.109,"Simulation, Strategy",C Prompt Games,Paradox Interactive,AA,2900000,"['Strategy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Economy', 'Turn-Based Combat', 'Hex Grid', 'War', 'Historical', 'Military', 'Grand Strategy', 'Political', 'Tactical', 'Turn-Based Strategy', 'Alternate History', 'Diplomacy', '4X', 'Turn-Based', 'Management', 'Replay Value']"
2227946,261145.0,717986,SOUTH PARK: SNOW DAY!,2024-03-26,1214650,south-park-snow-day,29.99,109000,3617,17955,51.203,"Action, Adventure",Question,THQ Nordic,AA,2500000,"['Action', 'Adventure', 'Controller', 'Action-Adventure', 'Dark Humor', 'Action RPG', 'Mystery', 'Memes', 'Cartoon', 'Hack and Slash', 'Third-Person', 'Magic', 'Dark Comedy', 'Satire', 'Parody ', 'Combat', 'Cartoony', 'Fantasy', 'Comedy', 'Funny']"
3022272,107233.0,664255,The Settlers: New Allies,2024-03-26,2750080,the-settlers-new-allies,39.99,24600,820,9400,47.683,Strategy,Ubisoft,Ubisoft,AAA,658000,"['Strategy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Economy', 'Colony Sim', 'Crafting', 'Tactical', 'God Game', '3D', 'Building', 'RTS', 'City Builder', 'Base Building', 'Management', 'Relaxing', 'Colorful', 'PvP']"
1231183,115060.0,641046,Dragon's Dogma 2,2024-03-22,2054970,dragon-s-dogma-2,69.99,2700000,106000,210000,60.791,"Action, RPG",Capcom,Capcom,AAA,146700000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Multiplayer', 'Action-Adventure', 'Action RPG', 'Medieval', 'Dragons', 'Character Customization', 'PvE', 'Artificial Intelligence', 'Third-Person', 'Magic', 'Swordplay', 'Lore-Rich', '3D', 'Physics', 'Fantasy', 'Open World']"
