name,platforms,genre,release_date
We Are Legion: Rome,"PC, PlayStation, Xbox",Action,2025
The Season of the Warlock,PC,Adventure,2025
Core Decay,PC,Action,2025
The Awakener: Risen,"PC, PlayStation",RPG,2025
Ondeh Ondeh,PC,Adventure,2025
Athanasia,PC,Action,2025
Karlson,PC,Action,2025
Food Truck Empire,PC,Strategy,2025
Arknights: Endfield,"PC, PlayStation, Mobile",RPG,2025
Szrot,PC,Racing,2025
Kitsune: The Journey of Adashino,"PC, Nintendo",Adventure,2025
Block N Load 2,PC,Action,2025
Toroa: Skycall,PC,Adventure,2025
Miska,PC,Adventure,2025
Unawake,PC,RPG,2025
World of Anterra,"PC, PlayStation, Xbox, Nintendo",RPG,2025
Evercore Heroes,PC,Action,2025
Paranormal Tales,PC,Adventure,2025
Pirates Republic,PC,RPG,2025
Wood & Weather,PC,Simulation,2025
Hello Exo,PC,Strategy,2025
RetroSpace,PC,Action,2025
Witches of the New World,PC,Action,2025
Lost Skies,PC,Action,2025
Moonbriar,PC,Adventure,2025
D.O.R.F. Real-Time Strategic Conflict,PC,Strategy,2025
Wanderer: The Fragments of Fate,"PC, PlayStation",Adventure,2025
The Guardian of Nature,PC,Adventure,2025
Tiny Bookshop,PC,Simulation,2025
Shantae Advance: Risky Revolution,"PC, PlayStation, Nintendo",Arcade,2025
Airframe Ultra,PC,Racing,2025
"Cook, Serve, Delicious: Re-Mustard!",PC,Arcade,2025
DDS x Narcos,PC,Simulation,2025
EVE: Vanguard,PC,Action,2025
Nirvana Noir,"PC, Xbox",Adventure,2025
Project CW,PC,Action,2025
Train Planet,PC,Simulation,2025
Decadent,"PC, PlayStation, Xbox",Action,2025
Deep State,PC,Action,2025
Lost Legions,PC,Action,2025
Orc Warchief,PC,Strategy,2025
Yooka-Replaylee,"PC, PlayStation, Xbox",Arcade,2025
Truck World: Australia,PC,Simulation,2025
Perfect New World,PC,RPG,2025
Project Wunderwaffe: War in Ukraine,PC,Strategy,2025
Shadow of the Road,PC,RPG,2025
CyberTaxi: Lunatic Nights,PC,Action,2025
Egging On,PC,Arcade,2025
Peace Island,PC,Adventure,"November 17, 2025"
Tavern Keeper,PC,Strategy,2025
Seed,PC,Strategy,2025
Unsung Warriors,PC,Action,2025
Task Force Admiral,PC,Strategy,November 2025
Dreamhouse: The Game,PC,Simulation,2025
Guinea Pig Parkour,PC,Arcade,2025
She Dreams Elsewhere,"PC, Xbox, Nintendo",RPG,2025
Tree of Life 2,PC,Action,2025
Dark Moonlight,PC,Action,2025
Elements,PC,Action,2025
Painkiller,"PC, PlayStation, Xbox",Action,Q4 2025
Rollers of the Realm: Reunion,PC,Arcade,2025
Unbeatable,"PC, PlayStation, Xbox",Arcade,2025
Crowsworn,PC,Action,2025
Bushiden,"PC, Xbox",Action,2025
Immortal: And the Death that Follows,"PC, PlayStation, Xbox, Nintendo",Action,2025
Deer & Boy,PC,Adventure,2025
Luto,"PC, PlayStation, Xbox",Adventure,2025
Wronged Us,PC,Adventure,2025
Agony: Lords of Hell,PC,Strategy,2025
Kriegsfront Tactics,"PC, PlayStation, Xbox, Nintendo",Strategy,2025
Twisted Tower,PC,Action,2025
Alterborn,"PC, PlayStation",Action,2025
The Courier,"PC, PlayStation, Xbox, Nintendo",Adventure,2025
Dreamsettler,PC,Simulation,2025
Narin: The Orange Room,PC,Adventure,2025
Glaciered,PC,Action,2025
Wreckreation,"PC, PlayStation, Xbox",Racing,2025
Townseek,PC,Adventure,2025
Twinsen's Little Big Adventure 2 Remastered,PC,Adventure,2025
Carnival Hunt,PC,Action,2025
Phantom Blade Zero,"PC, PlayStation",RPG,2025
Corsairs: Battle of the Caribbean,"PC, PlayStation, Xbox, Nintendo",Strategy,2025
Henry Halfhead,PC,Puzzle,2025
StarRupture,PC,Action,Q4 2025
Bye Sweet Carole,"PC, PlayStation, Xbox, Nintendo",Adventure,2025
Hotel Barcelona,"PC, PlayStation, Xbox",Action,2025
Last Hour of an Epic To the Moon RPG,PC,RPG,2025
Robots at Midnight,"PC, Xbox",RPG,2025
Dark and Darker Mobile,Mobile,RPG,2025
The Mermaid's Tongue,PC,Adventure,2025
Harmonium: The Musical,"PC, Xbox, Mobile",Adventure,2025
Usual June,PC,Action,2025
Mariachi Legends,PC,Action,2025
