name,platforms,genre,released
Agatha Christie - Hercule Poirot: The London Case,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-08-29
Crossfire: Sierra Squad,"PC, PlayStation",Action,2023-08-29
Under the Waves,"PC, PlayStation, Xbox",Adventure,2023-08-29
Goodbye Volcano High,"PC, PlayStation",Adventure,2023-08-29
Sea of Stars,"PC, PlayStation, Xbox, Nintendo",RPG,2023-08-29
Strategic Mind: Spirit of Liberty,"PC, PlayStation, Xbox",Strategy,2023-08-28
Master of Magic: Rise of the Soultrapped,PC,Strategy,2023-08-28
Sunkenland,PC,Action,2023-08-26
Town of Salem 2,"PC, Mobile",Party,2023-08-25
Armored Core VI: Fires of Rubicon,"PC, PlayStation, Xbox",Action,2023-08-25
Firewall Ultra,PlayStation,Action,2023-08-24
RIDE 5,"PC, PlayStation, Xbox",Racing,2023-08-24
Blasphemous II,"PC, PlayStation, Xbox, Nintendo",Action,2023-08-24
SPRAWL,"PC, PlayStation, Xbox",Action,2023-08-23
Dust Fleet,PC,Strategy,2023-08-23
It's a Wrap!,"PC, Nintendo",Arcade,2023-08-23
Rev to Vertex,PC,Racing,2023-08-22
Guild Wars 2: Secrets of the Obscure,PC,RPG,2023-08-22
Immortals of Aveum,"PC, PlayStation, Xbox",Action,2023-08-22
Fort Solis,"PC, PlayStation",Adventure,2023-08-22
WrestleQuest,"PC, PlayStation, Xbox, Nintendo",RPG,2023-08-22
Metal Slug: Awakening,"PC, Mobile",Action,2023-08-22
Jumplight Odyssey,"PC, PlayStation, Xbox",Strategy,2023-08-21
Super People,PC,Action,2023-08-21
Madden NFL 24,"PC, PlayStation, Xbox",Sports,2023-08-18
The Texas Chain Saw Massacre,"PC, PlayStation, Xbox",Action,2023-08-18
Bomb Rush Cyberfunk,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-08-18
Shadow Gambit: The Cursed Crew,"PC, PlayStation, Xbox",Strategy,2023-08-17
Gord,"PC, PlayStation, Xbox",Strategy,2023-08-17
Book of Hours,PC,RPG,2023-08-17
En Garde!,PC,Action,2023-08-16
The Cosmic Wheel Sisterhood,"PC, Nintendo",Adventure,2023-08-16
Labyrinthine,PC,Adventure,2023-08-16
Hammerwatch: Anniversary Edition,"PC, PlayStation, Xbox, Nintendo",RPG,2023-08-15
Desynced,PC,Strategy,2023-08-15
Emergency,PC,Strategy,2023-08-15
Hammerwatch II,"PC, PlayStation, Xbox, Nintendo",RPG,2023-08-15
Moving Out 2,"PC, PlayStation, Xbox, Nintendo",Party,2023-08-15
Cantata,PC,Strategy,2023-08-15
Black Skylands,"PC, PlayStation, Xbox, Nintendo",Action,2023-08-15
Turbo Overkill,"PC, PlayStation, Xbox, Nintendo",Action,2023-08-11
Space Mechanic Simulator,PC,Simulation,2023-08-11
Quake II,"PC, PlayStation, Xbox, Nintendo",Action,2023-08-10
Atlas Fallen,"PC, PlayStation, Xbox",RPG,2023-08-10
Lifeless Moon,"PC, PlayStation, Xbox",Adventure,2023-08-10
Stray Gods,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-08-10
30XX,"PC, Nintendo",Arcade,2023-08-09
Dark and Darker,PC,RPG,2023-08-08
White Album: Memories like Falling Snow,PC,Adventure,2023-08-04
A Guidebook of Babel,"PC, Mobile, Nintendo",Adventure,2023-08-03
Adore,"PC, PlayStation, Xbox, Nintendo",RPG,2023-08-03
Baldur's Gate 3,"PC, PlayStation, Xbox",RPG,2023-08-03
Atomic Heart: Annihilation Instinct,"PC, PlayStation, Xbox",Action,2023-08-02
Hearthstone: Titans,"PC, Mobile",Puzzle,2023-08-01
American Truck Simulator: Oklahoma,PC,Simulation,2023-08-01
Echo VR,PC,Sports,2023-08-01
